Generation,Zeit,Spieldauer,Stapel,Flach,Diagonal,Unentschieden,Hoechste Fitness,Durchschnittliche Fitness
56,21.97,16.3,7335,1569,790,206,4615.5,1731.8
57,26.54,19.9,6202,2430,974,294,4218.5,2174.95
58,30.45,22.8,5054,3088,1407,351,4210.0,2549.665
59,31.43,23.6,4304,4129,1210,257,4844.0,2783.755
60,35.54,26.7,3856,4707,1148,189,5054.5,3320.01
61,32.27,24.4,5027,3857,928,88,4618.5,3084.645
62,30.66,23.3,5200,3329,1184,187,4219.0,2796.585
63,30.74,23.4,4745,3919,1048,188,5450.5,2817.995
64,31.32,23.7,4757,3721,1154,268,5616.5,2762.485
65,30.39,23.2,5343,3210,1117,230,5547.0,2741.49
66,32.06,24.1,4917,3192,1467,324,4819.0,2763.03
67,32.99,24.9,4440,3380,1772,308,4544.0,2903.615
68,34.06,26.0,3175,4425,1889,411,4550.0,2945.195
69,33.8,25.2,3393,4295,1865,347,4906.0,2893.715
70,34.73,26.1,3195,4289,2043,373,4556.0,3005.295
71,34.71,26.5,3647,3795,2027,431,4209.0,2993.045
72,33.78,26.1,3939,3654,1895,412,4276.5,2954.88
73,33.26,25.2,4910,2976,1731,283,4264.0,2979.565
74,33.79,25.3,4868,2853,1829,350,4508.5,2913.69
75,34.17,26.0,4716,3304,1568,312,4538.5,3063.095
76,34.81,27.1,4647,3195,1636,422,4408.5,3097.145
77,33.07,25.4,5385,2856,1378,281,4645.5,3008.1
78,32.59,24.5,5743,2601,1319,237,4271.0,2934.66
79,30.61,23.6,6289,2179,1205,227,4220.5,2820.305
80,30.22,23.6,6420,2160,1119,201,4411.0,2846.385
81,32.91,24.9,5398,2672,1443,387,4474.0,2812.075
82,33.92,25.3,5113,3046,1496,245,5532.5,3047.575
83,33.35,26.0,4812,3212,1521,355,5045.0,3020.165
84,32.48,25.7,4903,3041,1603,353,4573.5,2981.32
85,30.62,23.5,5159,2882,1688,171,4179.5,2875.66
86,31.24,23.4,4844,2767,2165,124,4910.5,2924.62
87,28.09,21.0,6090,2043,1702,65,4363.5,2631.65
88,24.22,18.7,7817,1377,680,26,5011.0,2327.275
89,23.19,18.1,7015,1952,844,89,4517.5,2175.28
90,27.17,20.5,5633,2800,1275,192,4114.5,2410.02
91,31.89,24.1,4031,3782,1758,329,4364.0,2771.435
92,30.79,23.0,4647,3279,1772,202,4312.0,2757.2
93,25.31,19.9,5944,2218,1631,107,3704.5,2426.24
94,20.92,16.4,8216,755,802,127,4917.5,1909.915
95,18.38,14.3,8698,575,593,34,4576.0,1712.485
96,19.72,15.3,8166,939,747,48,4154.5,1828.06
97,21.83,16.3,7323,1636,831,110,3282.0,1875.53
98,27.77,20.3,5441,2943,1295,221,3767.0,2323.985
99,25.88,20.0,5814,2818,1130,138,3610.5,2373.67
100,26.61,20.2,5977,2540,1224,159,3925.5,2373.745
101,28.38,21.3,5415,3131,1265,89,4047.5,2624.575
102,32.21,23.9,3521,4556,1687,136,4078.5,2946.08
103,34.27,25.3,2891,4595,2204,210,4408.0,3076.165
104,15170.06,25.7,2874,4508,2268,250,4136.5,3094.565
105,36.53,26.6,2393,5021,2139,347,4570.0,3110.72
106,35.94,26.5,2478,4981,2149,292,4519.5,3159.04
107,35.67,26.6,2386,4480,2731,303,5166.5,3156.24
108,36.79,26.8,2234,4713,2569,384,4803.0,3091.38
109,34.99,26.3,2196,4803,2685,216,4648.0,3223.535
110,35.02,26.3,2186,4634,2826,254,4813.0,3176.21
111,34.95,26.3,1907,5074,2679,240,4574.5,3192.73
112,35.27,26.6,1819,5336,2528,217,4453.0,3260.455
113,34.09,25.7,1817,5990,1827,266,4359.5,3049.13
114,33.8,25.4,1641,6338,1687,234,4328.5,3044.99
115,33.47,25.7,1140,7569,1029,162,4577.0,3156.015
116,33.31,25.3,2328,6208,1165,199,4723.0,3072.645
117,31.35,23.8,2616,5652,1371,261,4302.0,2786.035
118,31.15,23.2,3284,4387,1979,250,4466.5,2710.6
119,28.57,22.1,4122,3423,2048,307,4246.5,2487.865
120,27.37,21.1,4623,2974,2020,283,3849.5,2377.17
121,29.02,22.3,3823,3300,2391,386,4478.0,2425.135
122,30.77,23.3,2889,3577,3090,344,4570.0,2634.195
123,28.76,22.2,3596,3193,2930,181,4378.0,2664.485
124,30.19,23.2,2841,3774,2882,403,4448.5,2550.115
125,32.39,24.7,2044,4080,3270,506,5046.5,2637.54
126,33.19,25.0,1801,4541,3040,518,4793.5,2659.325
127,33.55,25.4,2156,4218,3064,462,4649.0,2782.455
128,33.82,25.5,2078,4695,2673,454,4077.0,2810.84
129,32.43,25.3,2244,5343,2042,271,4289.5,2988.145
130,35.06,26.9,2066,5779,1626,429,5058.0,3027.66
131,36.12,27.0,1802,6193,1575,330,4827.5,3172.005
132,34.9,26.6,1941,5952,1685,322,4577.0,3123.725
133,31.87,24.6,2367,5044,2211,278,4036.0,2882.565
134,32.33,25.1,2158,5111,2291,340,4323.0,2870.67
135,31.56,24.3,2269,4745,2559,327,4124.5,2786.11
136,31.87,23.8,2335,4609,2770,186,4390.0,2877.775
137,31.17,23.9,1984,5080,2636,200,4289.0,2880.51
138,31.2,23.3,2394,4617,2677,212,4173.5,2774.22
139,31.32,23.5,2815,4427,2424,234,4310.0,2776.525
140,32.4,24.2,2333,4676,2664,227,4247.5,2885.68
141,32.22,24.4,2249,4294,3102,255,4030.0,2894.86
142,32.96,24.7,1686,4913,2878,423,3874.0,2742.055
143,31.77,24.1,1899,4781,2902,318,3966.0,2771.4
144,33.74,25.0,2429,4336,2740,395,4139.5,2808.045
145,33.45,24.9,1673,4879,2906,442,4612.0,2743.37
146,31.34,23.6,1652,4714,3197,337,4446.0,2678.605
147,31.07,23.1,2549,3918,3214,219,4285.0,2745.295
148,30.95,23.4,2672,4311,2709,208,4164.0,2805.38
149,31.18,23.6,3067,4300,2291,242,4016.5,2780.825
150,32.2,24.0,3546,4272,1769,313,4257.0,2757.275
151,32.13,24.0,2893,4667,1985,355,4078.0,2689.495
152,32.58,24.3,3544,4067,2116,173,4071.5,2957.68
153,32.38,24.6,3605,4147,1837,311,4130.0,2840.585
154,31.81,24.2,3843,4307,1554,196,4224.5,2924.35
155,32.61,24.3,3123,4462,2010,305,4030.0,2806.08
156,33.84,25.2,2571,4674,2280,375,4519.0,2846.39
157,33.51,24.6,2848,4646,2247,159,4656.0,3013.33
158,33.2,24.7,3455,3996,2277,172,4266.0,3016.5
159,30.47,23.5,4482,3101,2078,239,4589.5,2764.08
160,31.54,23.6,4799,2959,1958,184,4589.0,2843.805
161,31.89,24.1,5237,3025,1338,300,4559.0,2782.35
162,30.91,22.3,5402,2963,1318,217,3937.5,2614.605
163,30.4,23.2,4939,3786,918,257,4258.5,2703.85
164,34.16,25.8,2679,5879,981,361,5420.0,2943.235
165,33.56,25.5,3763,4488,1186,463,5270.0,2784.37
166,33.9,25.3,3489,4303,1628,480,4501.5,2737.58
167,32.92,25.1,3159,4583,1690,468,4504.5,2721.735
168,35.29,27.0,1381,6340,1592,587,5030.0,2844.47
169,33.38,25.7,1216,7175,1102,407,4597.0,2861.9
170,35.44,25.9,1648,6533,1392,327,4426.5,3006.92
171,36.2,26.8,1368,6811,1465,256,4677.5,3220.595
172,36.78,27.4,838,8136,666,260,4575.0,3289.975
173,35.68,27.7,1219,7796,777,108,4580.0,3514.585
174,37.2,28.1,1675,7365,722,138,4668.0,3524.26
175,39.05,29.6,2257,6608,699,336,4792.5,3513.6
176,39.67,30.2,1848,7177,669,206,5772.0,3762.59
177,41.16,31.8,1260,7329,924,387,5840.0,3783.715
178,42.11,31.2,1214,6919,1196,571,5889.0,3478.85
179,39.28,30.1,1443,7318,916,223,6511.0,3721.115
180,41.45,31.0,1190,7505,870,335,6583.0,3719.22
181,41.06,30.5,1405,7321,969,205,6000.0,3804.175
182,39.74,29.5,1492,7488,727,193,6218.5,3680.14
183,40.18,30.3,1029,8476,284,111,6041.0,3892.635
184,1630.37,30.4,1062,8217,349,272,4980.5,3705.565
185,43.38,31.0,1563,7738,341,258,5653.5,3821.9
186,41.14,30.4,1751,7348,471,330,5226.5,3652.615
187,40.49,30.1,1328,7827,405,340,4885.5,3604.43
188,5226.88,29.6,1376,7920,232,372,4635.5,3486.84
189,32.4,30.3,1431,7763,395,311,5121.0,3659.285
190,33.11,30.7,2014,6871,665,350,5632.5,3703.53
191,39.17,29.1,2043,6748,710,399,4916.5,3404.26
192,35.01,26.8,1340,7866,313,381,4566.5,3064.47
193,33.67,25.2,1143,8019,589,149,5037.0,3099.28
194,35.8,26.8,1255,7402,962,281,5120.5,3195.78
195,35.33,26.3,934,7585,1121,260,5091.0,3138.91
196,31.67,23.8,1984,6436,1215,265,4433.0,2761.005
197,27.38,20.7,3907,4496,1312,185,4374.0,2396.075
198,29.22,21.7,4020,4175,1610,95,4671.0,2649.545
199,29.12,21.8,4535,3635,1568,162,4474.5,2597.765
200,30.39,23.0,4649,3231,1830,190,4510.5,2757.55
201,31.28,23.6,4223,3863,1604,210,5477.0,2807.225
202,31.05,23.3,4583,3576,1514,227,4992.0,2747.305
203,32.36,24.7,4802,3346,1582,170,4545.5,3019.03
204,32.25,25.1,4912,3158,1738,92,4802.0,3170.565
205,34.78,27.5,4402,3674,1563,261,5002.0,3324.51
206,41.11,28.6,4527,3140,1749,484,5245.0,3218.685
207,36.28,28.0,3970,3636,2062,232,5298.5,3445.57
208,36.74,28.0,4000,3920,1583,397,5312.0,3233.38
209,38.41,28.5,3988,4243,1245,424,5399.0,3278.375
210,36.78,27.6,3926,3665,1889,420,5295.5,3141.495
211,35.93,27.5,3858,3147,2466,429,5111.0,3116.135
212,38.18,28.4,4236,2768,2384,512,5437.5,3154.23
213,38.35,28.9,3926,3267,2335,372,5562.5,3397.815
214,39.18,30.4,3615,2676,3240,369,6031.0,3623.555
215,38.92,30.1,4595,1874,3253,178,6191.0,3811.51
216,40.78,30.4,4052,2240,3385,223,5929.0,3806.82
217,37.52,28.4,4723,1910,3066,201,5226.5,3534.635
218,36.35,28.4,4398,2379,2889,234,5396.0,3489.195
219,39.25,29.7,4098,2173,3514,115,5549.0,3807.715
220,41.32,32.0,2962,1807,4964,167,5681.5,4086.46
221,43.18,33.4,1506,1833,6392,169,6102.0,4292.765
222,43.87,33.2,1923,1606,6319,52,5830.5,4410.385
223,45.2,33.6,1556,1998,6225,121,6231.0,4386.96
224,42.95,32.7,1999,1680,5903,318,5553.0,4002.735
225,44.86,33.6,1961,1718,6065,156,6495.5,4337.005
226,49.43,34.0,1695,1887,6164,154,6024.5,4394.405
227,46.48,33.8,1908,1641,6170,181,6379.5,4343.375
228,46.78,33.6,1872,1802,5826,400,6436.5,4039.945
229,44.5,32.2,2171,2236,5101,392,6608.0,3851.315
230,44.14,32.3,1976,2048,5455,421,6858.5,3836.2
231,44.17,32.0,1947,2600,4960,393,6468.0,3825.135
232,40.52,29.6,2339,3266,4133,162,6018.0,3771.13
233,38.53,28.6,2385,4415,2974,126,5936.5,3674.665
234,36.98,27.6,3040,3425,3267,168,5581.0,3459.0
235,35.95,26.6,3001,3462,3198,239,5276.5,3228.69
236,37.36,27.5,3203,3630,2902,165,5897.5,3454.02
237,36.55,26.8,3925,3349,2452,174,5602.0,3340.94
238,36.73,26.2,4243,2967,2525,165,5163.5,3252.885
239,30.74,26.4,3592,3633,2527,148,5368.5,3314.785
240,36.22,27.6,3024,3707,2881,288,5394.5,3336.945
241,36.0,26.7,3050,3697,3023,130,5545.0,3396.71
242,37.71,27.6,2599,3609,3591,101,5801.0,3579.2
243,35.41,27.2,2198,3788,3763,151,5816.0,3454.405
244,36.01,27.4,2317,3962,3541,80,5447.0,3576.925
245,35.51,26.7,2151,4740,2876,133,5314.0,3376.705
246,34.65,25.3,2305,4780,2617,198,5724.5,3089.235
247,31.84,23.8,3304,4691,1685,220,5372.5,2836.57
248,30.37,23.0,4481,3313,1438,668,5071.5,2195.215
249,31.3,22.2,5015,2952,1733,200,5641.0,2638.195
250,28.67,20.8,5494,2564,1680,162,6037.5,2471.44
251,32.42,23.6,4438,3533,1727,202,5761.5,2862.89
252,30.79,23.0,4168,3865,1782,85,6036.0,2912.08
253,32.52,24.2,3458,4605,1691,146,5840.5,3032.0
254,34.28,24.0,3453,4736,1636,75,5342.0,3103.88
255,34.82,24.5,3227,4423,2184,66,5517.5,3188.385
256,33.87,24.0,3207,4376,2255,62,5481.5,3127.755
257,32.94,24.3,3414,4135,2260,91,5934.0,3113.17
258,34.73,25.1,3368,3854,2579,99,5357.5,3246.86
259,34.23,25.1,3119,4284,2405,92,5552.5,3249.56
260,32.57,23.0,4019,3538,2189,154,5567.5,2849.28
261,36.72,25.4,3218,3659,2911,112,5444.0,3261.105
262,33.02,23.3,3844,2919,2927,210,5068.5,2830.625
263,30.7,22.3,4876,2275,2551,198,5211.5,2674.44
264,27.78,20.1,5457,2262,1833,348,4453.0,2153.645
265,28.62,20.6,4996,2390,2060,454,3888.0,2094.87
266,29.72,21.4,4267,2978,2387,268,5168.0,2454.565
267,29.28,21.3,3970,2986,2648,296,5172.0,2400.045
268,29.3,21.3,4091,2906,2636,267,4746.0,2428.385
269,34.05,22.7,3936,2801,2588,575,3924.5,2272.165
270,29.86,21.6,3529,2974,3170,227,3850.5,2520.915
271,31.23,22.1,3336,3360,2940,264,4477.0,2560.585
272,32.19,22.8,4215,3074,2352,259,3833.0,2652.265
273,31.32,23.1,4834,2744,1994,328,4385.0,2614.805
274,32.93,23.8,4712,2747,2113,328,5323.5,2715.17
275,33.9,24.0,4584,2923,2133,260,4789.0,2805.21
276,36.84,27.1,3641,4011,1920,328,4777.0,3203.6
277,38.38,28.0,2415,5411,1821,253,5366.5,3433.155
278,42.58,29.4,2464,5390,1797,249,6354.0,3647.41
279,42.23,30.2,3209,4532,1536,623,5625.5,3311.625
280,36.57,27.1,3761,3673,2136,330,4833.0,3218.795
281,36.41,25.9,3681,3821,2203,195,5182.0,3177.97
282,36.34,26.8,2403,4506,2804,187,5016.5,3338.02
283,36.09,26.4,2690,3936,3110,164,5411.0,3306.375
284,37.87,27.1,2156,4414,3161,169,5076.5,3410.53
285,39.26,28.3,1867,4993,2872,168,5107.0,3581.925
286,37.84,28.1,2092,4422,3092,294,4754.0,3404.425
287,38.4,27.7,2509,3907,3246,238,5135.5,3408.21
288,37.88,27.5,2322,4082,3286,210,5179.5,3409.365
289,40.78,27.8,2487,4110,2962,341,4921.0,3291.39
290,40.92,27.5,2470,4454,2682,294,4820.5,3311.825
291,39.45,27.4,1746,4966,2993,195,6388.5,3415.03
292,39.68,27.5,1020,5589,3040,251,5826.5,3362.88
293,37.14,26.3,1229,5967,2559,145,5464.5,3308.88
294,39.99,27.3,1412,5456,2822,210,5070.5,3401.195
295,39.63,28.2,1219,5521,2814,346,4730.0,3362.53
296,39.84,28.5,941,5251,3278,430,5388.0,3318.845
297,37.98,27.7,990,5522,2964,424,4657.0,3197.84
298,36.45,26.5,1614,5827,2253,206,5079.0,3275.31
299,34.87,26.7,1403,6144,2000,353,4976.5,3139.695
300,33.9,26.7,1718,6002,1933,247,4785.0,3252.105
301,34.28,26.2,1788,5654,2193,265,5324.0,3146.09
302,36.31,26.1,2395,4910,2366,229,4931.5,3181.21
303,36.61,26.7,2890,4351,2492,167,4963.0,3330.525
304,36.4,26.8,3110,4267,2292,231,5278.0,3267.97
305,36.5,25.3,3750,4143,1850,157,4783.0,3135.64
306,28.87,24.4,3769,4124,1898,109,4704.5,3048.65
307,25.21,24.9,4405,3669,1724,102,4559.5,3136.695
308,25.17,25.2,3654,4210,1938,98,4611.0,3184.24
309,27.21,25.4,3633,4205,1974,88,4751.0,3227.655
310,27.04,26.7,3746,4345,1696,113,4573.5,3384.505
311,26.86,26.5,4420,3751,1566,163,5038.5,3301.005
312,27.85,27.4,3904,3942,1805,249,5387.5,3337.73
313,25.84,26.4,3906,3722,2125,147,5100.5,3308.445
314,27.29,25.8,3806,3789,2132,173,5125.5,3196.625
315,26.98,25.7,3152,4203,2298,247,4830.0,3084.545
316,27.64,26.6,2612,4258,2809,221,5043.0,3261.845
317,27.27,26.7,3056,4123,2358,363,5662.0,3099.0
318,25.99,25.7,2894,4232,2610,164,5133.0,3202.875
319,25.46,24.9,2129,5010,2630,131,4535.5,3095.965
320,23.94,23.9,1907,5435,2517,41,4263.5,3052.27
321,22.98,22.9,1142,6708,1956,94,4608.0,2814.765
322,25.21,24.6,1181,5865,2698,156,5075.0,3017.56
323,25.23,24.5,1456,5468,2776,200,4485.5,2953.765
324,26.81,26.7,1172,5943,2455,330,4962.0,3111.215
325,28.17,28.4,1306,6119,2079,396,5188.0,3287.64
326,27.07,27.5,1629,5806,2110,355,4481.5,3210.115
327,27.17,27.7,1335,6045,2205,315,5237.5,3288.575
328,26.82,27.0,1351,5761,2437,351,4599.0,3161.0
